年周,开始日期,项目/车型,产品编码,产品名称,单位,单车用量,星期日,星期一,星期二,星期三,星期四,星期五,星期六,计划量,完成量,完成率,属性
2025_47,2025-11-16,BP76,BP76A-XC-08,BP76A-纵梁,个,1,280.0,280.0,280.0,280.0,280.0,280.0,280.0,1960,2184.0,111.0,本厂
2025_47,2025-11-16,BP76,BP76B-XC-02,BP76B-后边梁,个,1,210.0,210.0,210.0,210.0,210.0,210.0,210.0,1470,767.0,52.0,本厂
2025_47,2025-11-16,BP76,BP76B-XC-04,BP76B-右边梁,个,1,240.0,240.0,240.0,240.0,240.0,240.0,240.0,1680,864.0,51.0,本厂
2025_47,2025-11-16,BP76,BP76B-XC-06,BP76B-中纵梁,个,1,280.0,280.0,280.0,280.0,280.0,280.0,280.0,1960,572.0,29.0,本厂
2025_47,2025-11-16,BP62,BP62-XC-05-A,BP62横梁-A,个,1,350.0,350.0,350.0,350.0,350.0,350.0,350.0,2450,1526.0,62.0,本厂
2025_47,2025-11-16,BP62,BP62-XC-06-A,BP62中梁-A,个,1,290.0,290.0,290.0,290.0,290.0,290.0,290.0,2030,295.0,15.0,本厂
2025_47,2025-11-16,BP45,BP45B-XC-05,BP45（76）B前横梁,个,1,300.0,300.0,300.0,300.0,300.0,300.0,300.0,2100,1179.0,56.0,本厂
2025_47,2025-11-16,BP45,BP45B-XC-03,BP45（76）B左边梁,个,1,260.0,260.0,260.0,260.0,260.0,260.0,260.0,1820,751.0,41.0,本厂
2025_47,2025-11-16,53KWH,500109-00552-01-06,53KWH前梁（552）,个,1,330.0,330.0,330.0,330.0,330.0,330.0,330.0,2310,4851.0,210.0,本厂
2025_47,2025-11-16,53KWH,500109-00552-01-10,53KWH中间纵梁（552）,件,1,310.0,310.0,310.0,310.0,310.0,310.0,310.0,2170,5595.0,258.0,亿企
2025_47,2025-11-16,37KWH,500109-00515-01-07,37KWH膨胀梁,个,1,300.0,300.0,300.0,300.0,300.0,300.0,300.0,2100,4060.0,193.0,本厂
2025_47,2025-11-16,025AC,10062035-0-05,025AC前横梁,个,1,1.0,215.0,215.0,1.0,1.0,215.0,1.0,649,1045.0,161.0,本厂
2025_47,2025-11-16,025AC,10062035-0-11,025AC右边梁,个,1,1.0,140.0,140.0,140.0,140.0,140.0,140.0,841,544.0,65.0,本厂
2025_47,2025-11-16,025AC,10062035-0-06,025AC中横梁,个,1,1.0,1.0,1.0,280.0,280.0,1.0,280.0,844,201.0,24.0,本厂
2025_47,2025-11-16,025AC,10062035-0-03,025AC左边梁,个,1,1.0,140.0,140.0,140.0,140.0,140.0,140.0,841,710.0,84.0,本厂
2025_46,2025-11-09,F3-CCB,5306020-RR01,F3-CCB,件,1,280.0,280.0,280.0,280.0,280.0,280.0,280.0,1960,632.0,32.0,
2025_46,2025-11-09,DJ2436,5040076374-XC-14,DJ2436中部横梁,个,1,160.0,160.0,160.0,160.0,160.0,160.0,160.0,1120,855.0,76.0,本厂
2025_46,2025-11-09,BX4,500109-00428-01-01-02-D,BX4右侧梁(两驱),个,1,220.0,220.0,220.0,220.0,220.0,220.0,220.0,1540,758.0,49.0,本厂
2025_46,2025-11-09,BX4,500109-00428-01-13-02-C,BX4纵梁右(两驱),个,1,160.0,160.0,160.0,160.0,160.0,160.0,160.0,1120,1014.0,91.0,本厂
2025_46,2025-11-09,BX4,500109-00428-01-13-01-C,BX4纵梁左(两驱),个,1,160.0,160.0,160.0,160.0,160.0,160.0,160.0,1120,1140.0,102.0,本厂
2025_46,2025-11-09,BX4,500109-00427-01-01-01-D,BX4左侧梁,个,1,220.0,220.0,220.0,220.0,220.0,220.0,220.0,1540,1096.0,71.0,本厂
2025_46,2025-11-09,BP76,BP76A-XC-08,BP76A-纵梁,个,1,280.0,280.0,280.0,280.0,280.0,280.0,280.0,1960,351.0,18.0,本厂
2025_46,2025-11-09,BP76,BP76B-XC-02,BP76B-后边梁,个,1,210.0,210.0,210.0,210.0,210.0,210.0,210.0,1470,737.0,50.0,本厂
2025_46,2025-11-09,BP76,BP76B-XC-04,BP76B-右边梁,个,1,200.0,200.0,200.0,200.0,200.0,200.0,200.0,1400,1291.0,92.0,本厂
2025_46,2025-11-09,BP76,BP76B-XC-06,BP76B-中纵梁,个,1,280.0,280.0,280.0,280.0,280.0,280.0,280.0,1960,1602.0,82.0,本厂
2025_46,2025-11-09,BP62,BP62-XC-05-A,BP62横梁-A,个,1,350.0,350.0,350.0,350.0,350.0,350.0,350.0,2450,689.0,28.0,本厂
2025_46,2025-11-09,BP62,BP62-XC-06-A,BP62中梁-A,个,1,290.0,290.0,290.0,290.0,290.0,290.0,290.0,2030,1408.0,69.0,本厂
2025_46,2025-11-09,BP45,BP45B-XC-05,BP45（76）B前横梁,个,1,300.0,300.0,300.0,300.0,300.0,300.0,300.0,2100,670.0,32.0,本厂
