产品编码,产品名称,领料物资ID,材料规格,领料物资名称,产品/项目,单台用量,毛坯重【KG】,产品重【KG】,铝块重【KG】,铝屑重【KG】,领料单位,默认客户
2101771-DF19-1002_02-A,C385MCA左边框,2101771-DF19-1002_01-A-YL-GY,1645,C385MCA左右边框,C385MCA,1,5.86,4.604,0.86,0.396,机加部,锦佳盛
2101771-DF19-1003-D,C385MCA后边框梁,2101771-DF19-1003-B-YL-GY,1320,C385MCA前后边框梁,C385MCA,1,2.1,2.044,0.0,0.056,质检部,锦佳盛
2101771-DF19-1004-B,C385MCA前边框梁,2101771-DF19-1003-B-YL-GY,1320,C385MCA前后边框梁,C385MCA,1,2.1,2.044,0.0,0.056,机加部,锦佳盛
2101771-DF19-1005-B,C385MCA中间纵梁,2101771-DF19-1005-A-YL,1426.4,C385MCA中间纵梁,C385MCA,1,0.0,0.0,0.0,0.0,质检部,锦佳盛
2101771-DF19-1006-E,C385MCA横梁1,2101771-DF19-1006-E-YL,1269,C385MCA横梁1,C385MCA,1,0.0,0.0,0.0,0.0,质检部,锦佳盛
2101771-DF19-1007-A,C385MCA横梁2,2101771-DF19-1007-A-YL-GY,1269,C385MCA横梁2/3,C385MCA,1,2.05,2.006,0.0,0.044,机加部,锦佳盛
2101771-DF19-1008-D,C385MCA横梁3,2101771-DF19-1007-A-YL-GY,1269,C385MCA横梁2/3,C385MCA,1,0.0,0.0,0.0,0.0,质检部,锦佳盛
2101771-DF19-1016,C385MCA底护板支架-短,2101771-DF19-1016-YL,37,C385MCA底护板支架-短,C385MCA,8,0.013,0.013,0.0,0.0,外协,锦佳盛
2101771-DF19-1017,C385MCA底护板支架-长,2101771-DF19-1017-YL,57,C385MCA底护板支架-长,C385MCA,2,0.02,0.02,0.0,0.0,外协,锦佳盛
2101771-DF19-1024,C385MCA防爆阀过孔封板,2101771-DF19-1024-YL,25,C385MCA防爆阀过孔封板,C385MCA,1,0.01,0.009,0.0,0.001,外协,锦佳盛
2101771-DF19-1025-A,C385MCA插接件安装过孔封板,2101771-DF19-1025-A-YL,33,C385MCA插接件安装过孔封板,C385MCA,1,0.092,0.076,0.0,0.016,外协,锦佳盛
2101771-DF19-1026-A,C385MCA线速插接头安装过孔封板,2101771-DF19-1026-A-YL,25,C385MCA线速插接头安装过孔封板,C385MCA,1,0.032,0.031,0.0,0.001,外协,锦佳盛
2101771-DF19-1029,C385MCA下箱体中间纵梁2,2101771-DF19-1029-YL,81.6,C385MCA下箱体中间纵梁2,C385MCA,2,0.127,0.121,0.0,0.006,外协,锦佳盛
2101771-DF19-1030,C385MCA下箱体前边框梁架,2101771-DF19-1030-YL,2101771-DF19-1030-YL,C385MCA下箱体前边框梁架,C385MCA,2,0.113,0.101,0.0,0.012,外协,锦佳盛
2101771-DF19-1031,C385MCA后边框梁(小件),2101771-DF19-1031-YL,2101771-DF19-1031-YL,C385MCA后边框梁,C385MCA,2,0.217,0.205,0.0,0.012,外协,锦佳盛
2101771-DF19-1061,C385MCABMS安装纵梁1,2101771-DF19-1061-YL,2101771-DF19-1061-YL,C385MCABMS安装纵梁1,C385MCA,1,0.08,0.079,0.0,0.001,外协,锦佳盛
2101771-DF19-1063,C385MCABMS安装纵梁2,2101771-DF19-1063-YL,2101771-DF19-1063-YL,C385MCABMS安装纵梁2,C385MCA,1,0.08,0.079,0.0,0.001,外协,锦佳盛
2101771-DF19-1064,C385MCABMS安装纵梁3,2101771-DF19-1064-YL,2101771-DF19-1064-YL,C385MCABMS安装纵梁3,C385MCA,1,0.08,0.079,0.0,0.001,外协,锦佳盛
2101771-DF19-1065,C385MCA高压盒安装纵梁1,2101771-DF19-1065-YL,2101771-DF19-1065-YL,C385MCA高压盒安装纵梁1,C385MCA,1,0.08,0.079,0.0,0.001,外协,锦佳盛
2101771-DF19-1066,C385MCA高压盒安装纵梁2,2101771-DF19-1066-YL,2101771-DF19-1066-YL,C385MCA高压盒安装纵梁2,C385MCA,1,0.08,0.076,0.0,0.004,外协,锦佳盛
2101771-DF19-1071,C385MCA水管接头安装坐,2101771-DF19-1071-YL,2101771-DF19-1071-YL,C385MCA水管接头安装坐,C385MCA,1,0.188,0.139,0.0,0.049,外协,锦佳盛
C390.10.0-1,C390-前车副车架,,,,C390,1,0.0,0.0,0.0,0.0,质检部,鑫铂
C390.2.0-1,C390-前碰撞横梁,C390.2.0-1-YL,1508,C390-前碰撞横梁,C390,2,0.0,0.0,0.0,0.0,质检部,鑫铂
C390.3.0-1,C390-后碰撞横梁,C390.3.0-1-YL,1140,C390-后碰撞横梁,C390,1,0.0,0.0,0.0,0.0,质检部,鑫铂
C390.8.0-1,C390-门槛加强梁,C390.8.0-1-YL,955,C390-门槛加强梁,C390,1,0.0,0.0,0.0,0.0,质检部,鑫铂
500109-00522-01-01-01,C673-ICA右边框,500109-00522-01-01-01-YL-GY,1830,C673-ICA左右边框,C673-ICA,1,6.614,5.05,1.124,0.44,机加部,祥鑫
500109-00522-01-01-02,C673-ICA左边框,500109-00522-01-01-01-YL-GY,1830,C673-ICA左右边框,C673-ICA,1,6.614,5.05,1.124,0.44,机加部,祥鑫
500109-00522-01-02,C673-ICA前边框,500109-00522-01-02-YL,1320,C673-ICA前边框,C673-ICA,1,6.428,2.68,2.6,1.148,机加部,祥鑫
500109-00522-01-03,C673-ICA后边框,500109-00522-01-03-YL,1320,C673-ICA后边框,C673-ICA,1,7.968,4.64,2.204,1.124,机加部,祥鑫
500109-00522-01-04,C673-ICA前后膨胀梁_02,500109-00522-01-04-YL,1268,C673-ICA前后膨胀梁_02,C673-ICA,1,4.227,3.89,0.0,0.337,机加部,祥鑫
500109-00522-01-05,C673-ICA中部挂载梁_01,500109-00522-01-05-YL,1268,C673-ICA中部挂载梁_01,C673-ICA,1,2.95,2.854,0.0,0.096,机加部,祥鑫
500109-00522-01-06,C673-ICA水冷安装梁,500109-00522-01-06-YL,500109-00522-01-06-YL,C673-ICA水冷安装梁,C673-ICA,1,0.102,0.1,0.0,0.002,外协,祥鑫
500109-00522-01-08,C673-ICA加强梁02,500109-00522-01-08-YL,500109-00522-01-08-YL,C673-ICA加强梁02,C673-ICA,1,0.423,0.336,0.0,0.087,外协,祥鑫
500109-00522-01-11,C673-ICA加强梁05,500109-00522-01-11-YL,500109-00522-01-11-YL,C673-ICA加强梁05,C673-ICA,1,0.302,0.264,0.0,0.038,外协,祥鑫
500109-00522-01-13,C673-ICA加强梁07,500109-00522-01-13-YL,500109-00522-01-13-YL,C673-ICA加强梁07,C673-ICA,1,0.205,0.181,0.0,0.024,外协,祥鑫
500109-00522-01-15/14,C673-ICA加强梁09,500109-00522-01-15/14-YL,500109-00522-01-15/14-YL,C673-ICA加强梁09,C673-ICA,3,0.064,0.064,0.0,0.0,外协,祥鑫
500109-00522-01-16,C673-ICA加强梁10,500109-00522-01-16-YL,500109-00522-01-16-YL,C673-ICA加强梁10,C673-ICA,1,0.315,0.277,0.0,0.038,外协,祥鑫
500109-00522-01-17,C673-ICA加强梁11,500109-00522-01-17-YL,500109-00522-01-17-YL,C673-ICA加强梁11,C673-ICA,2,0.034,0.034,0.0,0.0,外协,祥鑫
500109-00522-01-18,C673-ICA加强梁12,500109-00522-01-18-YL,500109-00522-01-18-YL,C673-ICA加强梁12,C673-ICA,2,0.247,0.226,0.0,0.021,外协,祥鑫
500109-00522-01-20,C673-ICA水冷安装梁02,500109-00522-01-20-YL,500109-00522-01-20-YL,C673-ICA水冷安装梁02,C673-ICA,1,0.102,0.1,0.0,0.002,外协,祥鑫
500109-00522-01-21,C673-ICA加强梁14,500109-00522-01-21-YL,500109-00522-01-21-YL,C673-ICA加强梁14,C673-ICA,1,0.025,0.025,0.0,0.0,外协,祥鑫
500109-00522-04-03,C673-ICA钢带安装底座01,500109-00522-04-03-YL,500109-00522-04-03-YL,C673-ICA钢带安装底座01,C673-ICA,5,0.031,0.031,0.0,0.0,外协,祥鑫
500109-00522-04-04,C673-ICA钢带安装底座02,500109-00522-04-04-YL,500109-00522-04-04-YL,C673-ICA钢带安装底座02,C673-ICA,5,0.036,0.036,0.0,0.0,外协,祥鑫
500109-00522-04-07,C673-ICA护板安装支架01,500109-00522-04-07-YL,500109-00522-04-07-YL,C673-ICA护板安装支架01,C673-ICA,1,0.019,0.018,0.0,0.001,外协,祥鑫
500109-00522-04-08,C673-ICA护板安装支架02,500109-00522-04-08-YL,500109-00522-04-08-YL,C673-ICA护板安装支架02,C673-ICA,6,0.019,0.018,0.0,0.001,外协,祥鑫
500109-00522-04-09,C673-ICA护板安装支架03,500109-00522-04-09-YL,500109-00522-04-09-YL,C673-ICA护板安装支架03,C673-ICA,3,0.019,0.018,0.0,0.001,外协,祥鑫
500109-00522-04-12-01,C673-ICA挤铝支架-01,500109-00522-04-12-01-YL,500109-00522-04-12-01-YL,C673-ICA挤铝支架-01,C673-ICA,1,0.043,0.041,0.0,0.002,外协,祥鑫
500109-00522-04-12-02,C673-ICA挤铝支架-02,500109-00522-04-12-02-YL,500109-00522-04-12-02-YL,C673-ICA挤铝支架-02,C673-ICA,1,0.043,0.041,0.0,0.002,外协,祥鑫
500109-00522-05-04,C673-ICA防爆阀封堵片,500109-00522-05-04-YL,500109-00522-05-04-YL,C673-ICA防爆阀封堵片,C673-ICA,1,0.017,0.013,0.0,0.004,外协,祥鑫
C857-EU.1.0-1,C857-前机舱下加强件（左）,C857-EU.1.0/2.0-1-YL-GY,277,C857-前机舱加强件,C857,1,0.0,0.0,0.0,0.0,质检部,鑫铂
C857-EU.2.0-1,C857-前机舱下加强件（右）,C857-EU.1.0/2.0-1-YL-GY,277,C857-前机舱加强件,C857,1,0.0,0.0,0.0,0.0,质检部,鑫铂
C857-EU.6.0-1,C857-前碰撞横梁（6.0）,C857-EU.6.0/7.0-1-YL-GY,1137.6,C857-前碰撞横梁,C857,1,0.0,0.0,0.0,0.0,质检部,鑫铂
C857-EU.7.0-1,C857-前碰撞横梁（7.0）,C857-EU.6.0/7.0-1-YL-GY,1137.6,C857-前碰撞横梁,C857,1,0.0,0.0,0.0,0.0,质检部,鑫铂
C857-EU.8.0-1,C857-门槛型材（左）,C857-EU.8.0/9.0-1-YL-GY,1184.6,C857-门槛型材,C857,1,0.0,0.0,0.0,0.0,质检部,鑫铂
C857-EU.9.0-1,C857-门槛型材（右）,C857-EU.8.0/9.0-1-YL-GY,1184.6,C857-门槛型材,C857,1,0.0,0.0,0.0,0.0,质检部,鑫铂
500104-00369-01-01,CM2E后梁01,500104-00369-01-01-YL,837.84,CM2E后梁01,CM2E,1,2.828,2.312,0.0,0.516,机加部,联伟
500104-00369-01-05,CM2E横梁02,500104-00369-01-05-YL,1273.9,CM2E横梁02,CM2E,1,4.37,4.2,0.0,0.17,机加部,联伟
500104-00369-03-09,CM2E客户支架3,500104-00369-03-09-YL,500104-00369-03-09-YL,CM2E客户支架3,CM2E,2,0.34,0.308,0.0,0.032,外协,联伟
500104-00369-03-22,CM2E膨胀梁加强支架22,500104-00369-03-22-YL,500104-00369-03-22-YL,CM2E膨胀梁加强支架,CM2E,1,0.105,0.095,0.0,0.01,外协,联伟
500104-00369-03-29,CM2E膨胀梁加强支架1,500104-00369-03-29-YL,500104-00369-03-29-YL,CM2E膨胀梁加强支架1,CM2E,1,0.075,0.068,0.0,0.007,外协,联伟
500104-00369-03-35,CM2E加强梁,500104-00369-03-35-YL,500104-00369-03-35-YL,CM2E加强梁,CM2E,2,0.063,0.055,0.0,0.008,外协,联伟
500104-00369-03-47,CM2E膨胀梁加强支架47,500104-00369-03-47-YL,500104-00369-03-47-YL,CM2E膨胀梁加强支架,CM2E,1,0.105,0.082,0.0,0.023,外协,联伟
500104-00369-03-88,CM2E补强支架88,500104-00369-03-88-YL,500104-00369-03-88-YL,CM2E补强支架,CM2E,1,0.129,0.111,0.0,0.018,外协,联伟
500104-00369-03-89,CM2E补强支架89,500104-00369-03-89-YL,500104-00369-03-89-YL,CM2E补强支架,CM2E,1,0.129,0.111,0.0,0.018,外协,联伟
500104-00369-08-01,CM2E型材底板01,500104-00369-08-01-YL,1169*386.3*11,CM2E型材底板01,CM2E,1,6.6,6.508,0.0,0.092,机加部,联伟
500104-00369-08-02,CM2E型材底板02,500104-00369-08-02-YL,1169*316*11,CM2E型材底板02,CM2E,1,5.35,5.31,0.0,0.04,机加部,联伟
500104-00369-08-05,CM2E型材底板05,500104-00369-08-05-YL,1169*114.3*11,CM2E型材底板05,CM2E,1,2.312,2.062,0.116,0.134,机加部,联伟
500104-00369-08-06,CM2E型材底板03,500104-00369-08-06-YL,1169*315*11,CM2E型材底板03,CM2E,3,5.35,5.26,0.0,0.09,机加部,联伟
500104-00377-01-08,DC1E安装梁01,500104-00377-01-08-YL,500104-00377-01-08-YL,DC1E安装梁01,DC1E,1,0.175,0.103,0.0,0.072,外协,祥鑫
500104-00377-01-10,DC1E安装梁03,500104-00377-01-10-YL,500104-00377-01-10-YL,DC1E安装梁03,DC1E,1,0.45,0.27,0.0,0.18,外协,祥鑫
500104-00377-01-16-1,DC1E左边梁,500104-00377-01-16-1-YL-GY,1774,DC1E左右边梁,DC1E,1,19.958,17.898,0.718,1.342,机加部,祥鑫
500104-00377-01-16-2,DC1E右边梁,500104-00377-01-16-1-YL-GY,1774,DC1E左右边梁,DC1E,1,19.958,17.898,0.718,1.342,机加部,祥鑫
500104-00377-01-17-1,DC1E左侧前梁,500104-00377-01-17-1-YL,500104-00377-01-17-1-YL,DC1E左侧前梁,DC1E,1,2.634,2.047,0.0,0.587,外协,祥鑫
500104-00377-01-17-2,DC1E右侧前梁,500104-00377-01-17-2-YL,500104-00377-01-17-2-YL,DC1E右侧前梁,DC1E,1,2.634,2.047,0.0,0.587,外协,祥鑫
500104-00377-01-20,DC1E补强梁,500104-00377-01-20-YL,1374,DC1E补强梁,DC1E,1,8.514,7.272,0.12,1.122,机加部,祥鑫
500104-00377-01-22,DC1E后梁02,500104-00377-01-22-YL,1445,DC1E后梁02,DC1E,1,12.596,7.898,2.872,1.826,机加部,祥鑫
500104-00377-01-23,DC1E前梁01,500104-00377-01-23-YL,916,DC1E前梁01,DC1E,1,3.922,3.19,0.0,0.732,机加部,联伟
500104-00377-03-02-1,DC1E客户安装支架02A,500104-00377-03-02-1-YL,500104-00377-03-02-1-YL,DC1E客户安装支架02A,DC1E,1,0.379,0.362,0.0,0.017,外协,祥鑫
500104-00377-03-02-2,DC1E客户安装支架02B,500104-00377-03-02-2-YL,500104-00377-03-02-2-YL,DC1E客户安装支架02B,DC1E,1,0.379,0.362,0.0,0.017,外协,祥鑫
500104-00377-03-03-1,DC1E客户安装支架03A,500104-00377-03-03-1-YL,500104-00377-03-03-1-YL,DC1E客户安装支架03A,DC1E,1,0.236,0.236,0.0,0.0,外协,祥鑫
500104-00377-03-03-2,DC1E客户安装支架03B,500104-00377-03-03-2-YL,500104-00377-03-03-2-YL,DC1E客户安装支架03B,DC1E,1,0.236,0.228,0.0,0.008,外协,祥鑫
500104-00377-03-05,DC1E客户安装支架05,500104-00377-03-05-YL,500104-00377-03-05-YL,DC1E客户安装支架05,DC1E,2,0.024,0.023,0.0,0.001,外协,祥鑫
500104-00377-03-11,DC1E前膨胀梁补强支架01,500104-00377-03-11-YL,500104-00377-03-11-YL,DC1E前膨胀梁补强支架01,DC1E,2,0.086,0.085,0.0,0.001,外协,祥鑫
500104-00377-04-01-05,DC1E挤铝支架左,500104-00377-04-01-05-YL,500104-00377-04-01-05-YL,DC1E挤铝支架左,DC1E,1,0.063,0.054,0.0,0.009,外协,祥鑫
500104-00377-04-01-06,DC1E挤铝支架右,500104-00377-04-01-06-YL,500104-00377-04-01-06-YL,DC1E挤铝支架右,DC1E,1,0.063,0.054,0.0,0.009,外协,祥鑫
500104-00377-04-01-07,DC1E挤铝支架01左,500104-00377-04-01-07-YL,500104-00377-04-01-07-YL,DC1E挤铝支架01左,DC1E,1,0.129,0.116,0.0,0.013,外协,祥鑫
500104-00377-04-01-08,DC1E挤铝支架01右,500104-00377-04-01-08-YL,500104-00377-04-01-08-YL,DC1E挤铝支架01右,DC1E,1,0.129,0.118,0.0,0.011,外协,祥鑫
500104-00377-04-06-01,DC1E塞条01,500104-00377-04-06-01-YL,500104-00377-04-06-01-YL,DC1E塞条01,DC1E,2,0.02,0.02,0.0,0.0,外协,祥鑫
500104-00377-04-06-03,DC1E塞条03,500104-00377-04-06-03-YL,500104-00377-04-06-03-YL,DC1E塞条03,DC1E,2,0.014,0.014,0.0,0.0,外协,祥鑫
500104-00377-04-06-04,DC1E塞条04,500104-00377-04-06-04-YL,500104-00377-04-06-04-YL,DC1E塞条04,DC1E,2,0.031,0.031,0.0,0.0,外协,祥鑫
500104-00377-04-06-06/8,DC1E塞条06,500104-00377-04-06-06/8-YL,500104-00377-04-06-06/8-YL,DC1E塞条06,DC1E,6,0.046,0.046,0.0,0.0,外协,祥鑫
500104-00377-04-06-07,DC1E塞条07,500104-00377-04-06-07-YL,500104-00377-04-06-07-YL,DC1E塞条07,DC1E,2,0.035,0.035,0.0,0.0,外协,祥鑫
500104-00377-08-02/01,DC1E型材底板02/01,500104-00377-08-02/01-YL,1162,DC1E型材底板02/01,DC1E,3,7.89,7.671,0.0,0.219,机加部,祥鑫
500104-00377-08-03,DC1E型材底板03,500104-00377-08-03-YL,1162,DC1E型材底板03,DC1E,1,3.71,3.566,0.0,0.144,机加部,祥鑫
500104-00377-08-04,DC1E型材底板04,500104-00377-08-04-YL,1162,DC1E型材底板04,DC1E,1,6.492,6.246,0.0,0.246,机加部,祥鑫
500104-00377-08-05,DC1E型材底板05,500104-00377-08-05-YL,1192,DC1E型材底板05,DC1E,1,4.206,3.446,0.53,0.23,机加部,祥鑫
500104-00377-11-01,DC1E密封片01,500104-00377-11-01-YL,500104-00377-11-01-YL,DC1E密封片01,DC1E,1,0.037,0.026,0.0,0.011,外协,祥鑫
500104-00377-11-02,DC1E密封片02,500104-00377-11-02-YL,500104-00377-11-02-YL,DC1E密封片02,DC1E,2,0.015,0.014,0.0,0.001,外协,祥鑫
500104-00377-11-03,DC1E密封片03,500104-00377-11-03-YL,500104-00377-11-03-YL,DC1E密封片03,DC1E,1,0.053,0.037,0.0,0.016,外协,祥鑫
500104-00377-11-04,DC1E密封片04,500104-00377-11-04-YL,500104-00377-11-04-YL,DC1E密封片04,DC1E,2,0.0,0.0,0.0,0.0,外协,祥鑫
500104-00377-11-05,DC1E密封片05,500104-00377-11-05-YL,500104-00377-11-05-YL,DC1E密封片05,DC1E,6,0.004,0.003,0.0,0.001,外协,祥鑫
500104-00377-11-18,DC1E密封片18,500104-00377-11-18-YL,500104-00377-11-18-YL,DC1E密封片18,DC1E,1,0.082,0.051,0.0,0.031,外协,祥鑫
