产品编码,产品名称,领料物资ID,材料规格,领料物资名称,产品/项目,单台用量,毛坯重【KG】,产品重【KG】,铝块重【KG】,铝屑重【KG】,领料单位,默认客户
5040076374-XC-09,DJ2436后横梁支持梁-1,5040076374-XC-09-YL,5040076374-XC-09,DJ2436后横梁支持梁-1,DJ2436,1,0.085,0.082,0.0,0.003,外协,祥鑫
5040076374-XC-10,DJ2436后横梁支持梁-2,5040076374-XC-10-YL,5040076374-XC-10-YL,DJ2436后横梁支持梁-2,DJ2436,1,0.085,0.082,0.0,0.003,外协,祥鑫
5040076374-XC-11,DJ2436后横梁支持梁-3,5040076374-XC-11-YL,5040076374-XC-11-YL,DJ2436后横梁支持梁-3,DJ2436,1,0.085,0.082,0.0,0.003,外协,祥鑫
5040076374-XC-12,DJ2436后横梁支持梁-4,5040076374-XC-12-YL,5040076374-XC-12-YL,DJ2436后横梁支持梁-4,DJ2436,1,0.085,0.082,0.0,0.003,外协,祥鑫
5040076374-XC-13,DJ2436后横梁,5040076374-XC-13-YL,1270,DJ2436后横梁,DJ2436,1,2.078,1.894,0.0,0.184,质检部,祥鑫
5040076374-XC-14,DJ2436中部横梁,5040076374-XC-14-YL,1260,DJ2436中部横梁,DJ2436,1,2.59,2.32,0.056,0.214,质检部,祥鑫
5040076374-XC-15,DJ2436前横梁,5040076374-XC-15-YL,1270,DJ2436前横梁,DJ2436,1,2.35,2.24,0.0,0.11,质检部,祥鑫
5040076374-XC-16,DJ2436中部加强梁-1,5040076374-XC-16-YL,5040076374-XC-16-YL,DJ2436中部加强梁-1,DJ2436,1,0.0,0.0,0.0,0.0,外协,祥鑫
5040076374-XC-17,DJ2436后端加强横梁1,5040076374-XC-17-YL,5040076374-XC-17-YL,DJ2436后端加强横梁1,DJ2436,1,0.0,0.0,0.0,0.0,外协,祥鑫
5040076374-XC-18,DJ2436左边框,5040076374-XC-18-YL,1503,DJ2436左右边框,DJ2436,1,6.614,6.03,0.24,0.344,质检部,祥鑫
5040076374-XC-19,DJ2436右边框19,5040076374-XC-18-YL,1503,DJ2436左右边框,DJ2436,1,6.614,6.03,0.24,0.344,质检部,祥鑫
5040076374-XC-20,DJ2436后框吊耳-1,5040076374-XC-20-YL,5040076374-XC-20-YL,DJ2436后框吊耳-1,DJ2436,1,0.351,0.291,0.0,0.06,外协,祥鑫
5040076374-XC-21,DJ2436后框吊耳-2,5040076374-XC-21-YL,5040076374-XC-21-YL,DJ2436后框吊耳-2,DJ2436,1,0.351,0.291,0.0,0.06,外协,祥鑫
5040076374-XC-22,DJ2436前框吊耳,5040076374-XC-22-YL,5040076374-XC-22-YL,DJ2436前框吊耳,DJ2436,4,0.151,0.139,0.0,0.012,外协,祥鑫
5040076374-XC-23,DJ2436前加强梁-1,5040076374-XC-23-YL,5040076374-XC-23-YL,DJ2436前加强梁-1,DJ2436,1,0.043,0.039,0.0,0.004,外协,祥鑫
5040076374-XC-24,DJ2436前加强梁-2,5040076374-XC-24-YL,5040076374-XC-24-YL,DJ2436前加强梁-2,DJ2436,1,0.04,0.037,0.0,0.003,外协,祥鑫
5040076374-XC-25,DJ2436前加强梁-3,5040076374-XC-25-YL,5040076374-XC-25-YL,DJ2436前加强梁-3,DJ2436,2,0.092,0.086,0.0,0.006,外协,祥鑫
5040076374-XC-26,DJ2436斜边框封堵片,5040076374-XC-26-YL,5040076374-XC-26-YL,DJ2436斜边框封堵片,DJ2436,1,0.008,0.007,0.0,0.001,外协,祥鑫
500110-00255-01-03,E12-4C后梁,500110-00255-01-03-YL,1354,E12-4C后梁,E12-4C(平伟）,1,0.0,0.0,0.0,0.0,机加部,联伟
500110-00255-01-06,E12-4C中间膨胀梁02,500110-00255-01-06-YL,1302,E12-4C中间膨胀梁02,E12-4C(平伟）,1,0.0,0.0,0.0,0.0,机加部,联伟
500110-00255-01-19,E12-4C前后膨胀梁,500110-00255-01-19-YL,1302,E12-4C前后膨胀梁,E12-4C(平伟）,1,0.0,0.0,0.0,0.0,机加部,联伟
500110-00255-01-20,E12-4C安装梁06,500110-00255-01-20-YL,500110-00255-01-20-YL,E12-4C安装梁06,E12-4C(平伟）,1,0.0,0.0,0.0,0.0,外协,联伟
500110-00255-01-21,E12-4C安装梁07,500110-00255-01-21-YL,500110-00255-01-21-YL,E12-4C安装梁07,E12-4C(平伟）,1,0.0,0.0,0.0,0.0,外协,联伟
500110-00255-01-22,E12-4C安装梁10,500110-00255-01-22-YL,500110-00255-01-22-YL,E12-4C安装梁10,E12-4C(平伟）,1,0.0,0.0,0.0,0.0,外协,联伟
500110-00255-01-25,E12-4C安装梁11,500110-00255-01-25-YL,500110-00255-01-25-YL,E12-4C安装梁11,E12-4C(平伟）,1,0.0,0.0,0.0,0.0,外协,联伟
500110-00255-02-02-01,E12-4C前挂载点,500110-00255-02-02-01-YL,500110-00255-02-02-01-YL,E12-4C前挂载点,E12-4C(平伟）,2,0.0,0.0,0.0,0.0,外协,联伟
500110-00255-02-03-01,E12-4C后挂载点1,500110-00255-02-03-01-YL,500110-00255-02-03-01-YL,E12-4C后挂载点1,E12-4C(平伟）,1,0.0,0.0,0.0,0.0,外协,联伟
500110-00255-02-03-02,E12-4C后挂载点2,500110-00255-02-03-02-YL,500110-00255-02-03-02-YL,E12-4C后挂载点2,E12-4C(平伟）,1,0.0,0.0,0.0,0.0,外协,联伟
500110-00255-04-03,E12-4C护板固定支架01,500110-00255-04-03-YL,500110-00255-04-03-YL,E12-4C护板固定支架01,E12-4C(平伟）,4,0.0,0.0,0.0,0.0,外协,联伟
500110-00255-04-04,E12-4C护板固定支架02,500110-00255-04-04-YL,500110-00255-04-04-YL,E12-4C护板固定支架02,E12-4C(平伟）,4,0.0,0.0,0.0,0.0,外协,联伟
500110-00255-04-05,E12-4C护板固定支架03,500110-00255-04-05-YL,500110-00255-04-05-YL,E12-4C护板固定支架03,E12-4C(平伟）,4,0.0,0.0,0.0,0.0,外协,联伟
500110-00255-04-07,E12-4C护板固定支架05,500110-00255-04-07-YL,500110-00255-04-07-YL,E12-4C护板固定支架05,E12-4C(平伟）,1,0.0,0.0,0.0,0.0,外协,联伟
500110-00255-04-08,E12-4C护板固定支架06,500110-00255-04-08-YL,500110-00255-04-08-YL,E12-4C护板固定支架06,E12-4C(平伟）,4,0.0,0.0,0.0,0.0,外协,联伟
500110-00255-04-09,E12-4C护板固定支架07,500110-00255-04-09-YL,500110-00255-04-09-YL,E12-4C护板固定支架07,E12-4C(平伟）,1,0.0,0.0,0.0,0.0,外协,联伟
500604-00389-01,E12-4C中间膨胀梁03,500110-00255-01-19-YL,1302,E12-4C前后膨胀梁,E12-4C(平伟）,1,0.0,0.0,0.0,0.0,机加部,联伟
500109-00381-01-01-A,E12左边框,500109-00381-01-01-A-YL-GY,2153.3,E12左右边框,E12,1,6.858,5.008,1.282,0.568,机加部,祥鑫
500109-00381-01-01-B,E12右边框,500109-00381-01-01-A-YL-GY,2153.3,E12左右边框,E12,1,6.858,5.008,1.282,0.568,机加部,祥鑫
500109-00381-01-02,E12前边框,500109-00381-01-02-YL,1352,E12前边框,E12,1,1.914,1.576,0.128,0.21,机加部,祥鑫
