单据号,物资编码,物资名称,计量单位,入出库编码,入出库类型,入出库标识,库房,业务时间,数量,核算期,审核人,部门,用途,合作伙伴,单据描述,行描述,要货日期,审核时间
RZZ260526165,500104-00518-01-010-01-C,小卡三代-左边框,件,CRK31,检验入库,R,在制成品库,2026/5/26 8:32:56,50,202605,YXL-ZL0013W,机加1班,检验入库,,产品包装扫码入库,R20260521-5934-CQYXL-1518,2026/5/26 0:00:00,2026/5/26 8:36:17
RZZ260526165,10062035-0-05,025AC前横梁,件,CRK31,检验入库,R,在制成品库,2026/5/26 8:31:59,100,202605,YXL-ZL0011,机加1班,检验入库,,产品包装扫码入库,R20260520-5864-CQYXL-1242,2026/5/26 0:00:00,2026/5/26 8:33:25
BGC260526018,10062035-0-03/11-YL-GY,025AC左右边梁,个,CRK04,生产领用,C,原材料库,2026/5/26 8:21:01,6,202605,YXL-JG0015,王永强,生产,,生产领料,R20260526-6170-CQYXL,2026/5/26 0:00:00,2026/5/26 8:27:32
RZZ260526161,10062035-0-05,025AC前横梁,件,CRK31,检验入库,R,在制成品库,2026/5/26 8:18:42,100,202605,YXL-ZL0011,机加1班,检验入库,,产品包装扫码入库,R20260524-6127-CQYXL-1759,2026/5/26 0:00:00,2026/5/26 8:21:18
BGC260526017,10062035-0-07-YL,025AC纵梁,个,CRK04,生产领用,C,原材料库,2026/5/26 7:54:00,92,202605,YXL-JG0025,刘洪波,生产,,生产领料,R20260525-6089-CQYXL,2026/5/26 0:00:00,2026/5/26 7:57:16
BGC260526017,500104-00518-01-010-01/02-C-YL,小卡三代-左右边框,个,CRK04,生产领用,C,原材料库,2026/5/26 7:54:00,10,202605,YXL-JG0118W,学员14,生产,,生产领料,R20260525-6148-CQYXL,2026/5/26 0:00:00,2026/5/26 7:57:16
BGC260526017,500109-00312-01-19-YL,E35纵梁,个,CRK04,生产领用,C,原材料库,2026/5/26 7:54:00,72,202605,YXL-JG0105W,劳务1,生产,,生产领料,R20260526-6193-CQYXL,2026/5/26 0:00:00,2026/5/26 7:57:17
BGC260526017,10062035-0-03/11-YL-GY,025AC左右边梁,个,CRK04,生产领用,C,原材料库,2026/5/26 7:54:00,16,202605,YXL-JG0121,王晓松,生产,,生产领料,R20260526-6174-CQYXL,2026/5/26 0:00:00,2026/5/26 7:57:15
BGR260526016,500110-00799-01-02/03-YL-GY,AWT87.3-横梁01/02,个,CRK27,二次加工,R,二次机加库,2026/5/26 7:51:02,42,202605,YXL-JG0106W,劳务2,机加生产,,生产领料,R20260525-6151-CQYXL,2026/5/26 0:00:00,2026/5/26 7:54:25
BGR260526016,500109-00515-01-07-YL,37KWH膨胀梁,个,CRK27,二次加工,R,二次机加库,2026/5/26 7:51:02,83,202605,YXL-JG0014,赵宗拉,机加生产,,生产领料,R20260525-6167-CQYXL,2026/5/26 0:00:00,2026/5/26 7:54:25
BGC260526016,500104-00518-01-05-B-YL,小卡三代-后膨胀梁,个,CRK04,生产领用,C,原材料库,2026/5/26 7:51:01,42,202605,YXL-JG0121,王晓松,生产,,生产领料,R20260525-6163-CQYXL,2026/5/26 0:00:00,2026/5/26 7:54:19
BGC260526016,500104-00518-01-010-01/02-C-YL,小卡三代-左右边框,个,CRK04,生产领用,C,原材料库,2026/5/26 7:51:01,37,202605,YXL-JG0025,刘洪波,生产,,生产领料,R20260525-6093-CQYXL,2026/5/26 0:00:00,2026/5/26 7:54:21
BGC260526016,500104-00518-01-05-B-YL,小卡三代-后膨胀梁,个,CRK04,生产领用,C,原材料库,2026/5/26 7:51:01,13,202605,YXL-JG0025,刘洪波,生产,,生产领料,R20260525-6150-CQYXL,2026/5/26 0:00:00,2026/5/26 7:54:22
BGC260526016,500109-00515-01-07-YL,37KWH膨胀梁,个,CRK04,生产领用,C,原材料库,2026/5/26 7:51:01,83,202605,YXL-JG0014,赵宗拉,生产,,生产领料,R20260525-6167-CQYXL,2026/5/26 0:00:00,2026/5/26 7:54:22
BGC260526016,10062035-0-03/11-YL-GY,025AC左右边梁,个,CRK04,生产领用,C,原材料库,2026/5/26 7:51:01,44,202605,YXL-JG0105W,劳务1,生产,,生产领料,R20260525-6086-CQYXL,2026/5/26 0:00:00,2026/5/26 7:54:23
BGC260526016,10062035-0-06-YL,025AC中横梁,个,CRK04,生产领用,C,原材料库,2026/5/26 7:51:01,23,202605,YXL-JG0106W,劳务2,生产,,生产领料,R20260525-6088-CQYXL,2026/5/26 0:00:00,2026/5/26 7:54:23
BGC260526016,500110-00799-01-02/03-YL-GY,AWT87.3-横梁01/02,个,CRK04,生产领用,C,原材料库,2026/5/26 7:51:01,42,202605,YXL-JG0106W,劳务2,生产,,生产领料,R20260525-6151-CQYXL,2026/5/26 0:00:00,2026/5/26 7:54:23
BGC260526016,500109-00677-01-10-YL,F3-56-膨胀梁01,个,CRK04,生产领用,C,原材料库,2026/5/26 7:51:01,22,202605,YXL-JG0025,刘洪波,生产,,生产领料,R20260524-6132-CQYXL,2026/5/26 0:00:00,2026/5/26 7:54:24
BGR260526015,500110-00799-01-02/03-YL-GY,AWT87.3-横梁01/02,个,CRK27,二次加工,R,二次机加库,2026/5/26 7:48:03,88,202605,YXL-JG0014,赵宗拉,机加生产,,生产领料,R20260525-6157-CQYXL,2026/5/26 0:00:00,2026/5/26 7:51:19
BGR260526015,500110-00799-01-02/03-YL-GY,AWT87.3-横梁01/02,个,CRK27,二次加工,R,二次机加库,2026/5/26 7:48:03,90,202605,YXL-JG0120,吴寒冰,机加生产,,生产领料,R20260525-6164-CQYXL,2026/5/26 0:00:00,2026/5/26 7:51:19
BGC260526015,10062035-0-06-YL,025AC中横梁,个,CRK04,生产领用,C,原材料库,2026/5/26 7:48:01,88,202605,YXL-JG0120,吴寒冰,生产,,生产领料,R20260526-6201-CQYXL,2026/5/26 0:00:00,2026/5/26 7:51:17
BGC260526015,500110-00799-01-02/03-YL-GY,AWT87.3-横梁01/02,个,CRK04,生产领用,C,原材料库,2026/5/26 7:48:01,90,202605,YXL-JG0120,吴寒冰,生产,,生产领料,R20260525-6164-CQYXL,2026/5/26 0:00:00,2026/5/26 7:51:18
BGC260526015,500110-00848-01-01-YL,F618-前梁01,个,CRK04,生产领用,C,原材料库,2026/5/26 7:48:01,24,202605,YXL-JG0127,李江帅,生产,,生产领料,R20260524-6129-CQYXL,2026/5/26 0:00:00,2026/5/26 7:51:18
BGC260526015,500110-00799-01-02/03-YL-GY,AWT87.3-横梁01/02,个,CRK04,生产领用,C,原材料库,2026/5/26 7:48:01,88,202605,YXL-JG0014,赵宗拉,生产,,生产领料,R20260525-6157-CQYXL,2026/5/26 0:00:00,2026/5/26 7:51:19
BGC260526014,10062035-0-04-YL,025AC后边梁,个,CRK04,生产领用,C,原材料库,2026/5/26 7:42:01,85,202605,YXL-JG0127,李江帅,生产,,生产领料,R20260525-6160-CQYXL,2026/5/26 0:00:00,2026/5/26 7:45:24
BGC260526013,10062035-0-04-YL,025AC后边梁,个,CRK04,生产领用,C,原材料库,2026/5/26 7:21:01,20,202605,YXL-JG0014,赵宗拉,生产,,生产领料,R20260525-6161-CQYXL,2026/5/26 0:00:00,2026/5/26 7:24:18
BGC260526012,500110-00799-01-03,AWT87.3-横梁02,个,CRK04,生产领用,C,二次机加库,2026/5/26 6:03:02,100,202605,YXL-JG0118W,学员14,生产,,生产领料,R20260525-6113-CQYXL,2026/5/26 0:00:00,2026/5/26 6:06:17
BGC260526011,500104-00518-01-010-01/02-C-YL,小卡三代-左右边框,个,CRK04,生产领用,C,原材料库,2026/5/26 5:45:00,32,202605,YXL-JG0118W,学员14,生产,,生产领料,R20260525-6148-CQYXL,2026/5/26 0:00:00,2026/5/26 5:48:20
BGC260526010,10062035-0-04-YL,025AC后边梁,个,CRK04,生产领用,C,原材料库,2026/5/26 5:42:00,100,202605,YXL-JG0014,赵宗拉,生产,,生产领料,R20260525-6161-CQYXL,2026/5/26 0:00:00,2026/5/26 5:45:16
BGC260526009,10062035-0-06-YL,025AC中横梁,个,CRK04,生产领用,C,原材料库,2026/5/26 5:39:01,80,202605,YXL-JG0106W,劳务2,生产,,生产领料,R20260525-6088-CQYXL,2026/5/26 0:00:00,2026/5/26 5:42:14
BGC260526009,10062035-0-03/11-YL-GY,025AC左右边梁,个,CRK04,生产领用,C,原材料库,2026/5/26 5:39:01,51,202605,YXL-JG0121,王晓松,生产,,生产领料,R20260526-6174-CQYXL,2026/5/26 0:00:00,2026/5/26 5:42:15
BGC260526008,500104-00518-01-05-B-YL,小卡三代-后膨胀梁,个,CRK04,生产领用,C,原材料库,2026/5/26 5:15:01,32,202605,YXL-JG0025,刘洪波,生产,,生产领料,R20260525-6150-CQYXL,2026/5/26 0:00:00,2026/5/26 5:18:21
BGC260526007,500109-00312-01-19-YL,E35纵梁,个,CRK04,生产领用,C,原材料库,2026/5/26 4:21:01,100,202605,YXL-JG0105W,劳务1,生产,,生产领料,R20260526-6193-CQYXL,2026/5/26 0:00:00,2026/5/26 4:24:16
BGC260526006,500110-00848-01-07-YL,F618-膨胀横梁2,个,CRK04,生产领用,C,原材料库,2026/5/26 3:30:01,45,202605,YXL-JG0025,刘洪波,生产,,生产领料,R20260526-6211-CQYXL,2026/5/26 0:00:00,2026/5/26 3:33:23
BGC260526005,500110-00799-01-03,AWT87.3-横梁02,个,CRK04,生产领用,C,二次机加库,2026/5/26 2:42:02,41,202605,YXL-JG0118W,学员14,生产,,生产领料,R20260525-6113-CQYXL,2026/5/26 0:00:00,2026/5/26 2:45:17
BGC260526004,10062035-0-03/11-YL-GY,025AC左右边梁,个,CRK04,生产领用,C,原材料库,2026/5/26 1:09:01,26,202605,YXL-JG0105W,劳务1,生产,,生产领料,R20260525-6086-CQYXL,2026/5/26 0:00:00,2026/5/26 1:12:17
BGR260526003,500110-00799-01-02/03-YL-GY,AWT87.3-横梁01/02,个,CRK27,二次加工,R,二次机加库,2026/5/26 0:48:02,26,202605,YXL-JG0106W,劳务2,机加生产,,生产领料,R20260525-6151-CQYXL,2026/5/26 0:00:00,2026/5/26 0:51:18
BGC260526003,500110-00799-01-02/03-YL-GY,AWT87.3-横梁01/02,个,CRK04,生产领用,C,原材料库,2026/5/26 0:48:01,26,202605,YXL-JG0106W,劳务2,生产,,生产领料,R20260525-6151-CQYXL,2026/5/26 0:00:00,2026/5/26 0:51:17
BGC260526002,500110-00799-01-02,AWT87.3-横梁01,个,CRK04,生产领用,C,二次机加库,2026/5/26 0:30:02,80,202605,YXL-JG0118W,学员14,生产,,生产领料,R20260525-6112-CQYXL,2026/5/26 0:00:00,2026/5/26 0:33:21
WXC260526037,SD01-61KWH-B-XC-016-YL,SD01后端加强纵梁03,个,CRK12,外协出库,C,原材料库,2026/5/26 0:00:00,5,202605,YXL-024,仓储部,SD01后端加强纵梁03,,,三星,2026/5/26 0:00:00,2026/5/26 14:12:16
WXC260526046,BP45A-XC-02-YL,BP45A后边梁,个,CRK12,外协出库,C,原材料库,2026/5/26 0:00:00,17,202605,YXL-022,仓储部,BP45A后边梁,,,三星,2026/5/26 0:00:00,2026/5/26 19:06:16
R260525048,10062035-0-03/11-YL-GY,025AC左右边梁,个,CRK01,采购入库,R,原材料库,2026/5/25 22:01:36,159,202605,YXL-026,,采购收货,正合,,,2026/5/25 0:00:00,2026/5/25 22:06:16
R260525048,10062035-0-02-YL,025AC前边梁,个,CRK01,采购入库,R,原材料库,2026/5/25 22:01:36,135,202605,YXL-026,,采购收货,正合,,,2026/5/25 0:00:00,2026/5/25 22:06:16
R260525048,10062035-0-06-YL,025AC中横梁,个,CRK01,采购入库,R,原材料库,2026/5/25 22:01:36,450,202605,YXL-026,,采购收货,正合,,,2026/5/25 0:00:00,2026/5/25 22:06:17
R260525048,10062035-0-04-YL,025AC后边梁,个,CRK01,采购入库,R,原材料库,2026/5/25 22:01:36,205,202605,YXL-026,,采购收货,正合,,,2026/5/25 0:00:00,2026/5/25 22:06:17
R260525048,10062035-0-07-YL,025AC纵梁,个,CRK01,采购入库,R,原材料库,2026/5/25 22:01:36,765,202605,YXL-026,,采购收货,正合,,,2026/5/25 0:00:00,2026/5/25 22:06:18
BGC260525070,500109-00312-01-19-YL,E35纵梁,个,CRK04,生产领用,C,原材料库,2026/5/25 21:54:01,14,202605,YXL-JG0105W,劳务1,生产,,生产领料,R20260525-6136-CQYXL,2026/5/25 0:00:00,2026/5/25 21:57:16
BGC260525069,500110-00799-01-03,AWT87.3-横梁02,个,CRK04,生产领用,C,二次机加库,2026/5/25 21:03:03,15,202605,YXL-JG0118W,学员14,生产,,生产领料,R20260525-6113-CQYXL,2026/5/25 0:00:00,2026/5/25 21:06:16
BGC260525069,500110-00799-01-03,AWT87.3-横梁02,个,CRK04,生产领用,C,二次机加库,2026/5/25 21:03:03,15,202605,YXL-JG0118W,学员14,生产,,生产领料,R20260525-6113-CQYXL,2026/5/25 0:00:00,2026/5/25 21:06:17
C260525003,500110-00799-01-02,AWT87.3-横梁01,个,CRK80,调拨出库,C,成品库,2026/5/25 20:51:14,200,202605,YXL-024,宜宾仓储,交付,,调拨出库扫码,YXL260525_9029,2026/5/25 0:00:00,2026/5/25 20:54:21
C260525003,2.A.02.6184-OSP00,PP-0168-右边梁,个,CRK80,调拨出库,C,成品库,2026/5/25 20:51:14,59,202605,YXL-024,宜宾仓储,交付,,调拨出库扫码,YXL260525_9027,2026/5/25 0:00:00,2026/5/25 20:54:21
C260525003,500110-00799-01-02,AWT87.3-横梁01,个,CRK80,调拨出库,C,成品库,2026/5/25 20:51:14,200,202605,YXL-024,宜宾仓储,交付,,调拨出库扫码,YXL260525_9024,2026/5/25 0:00:00,2026/5/25 20:54:22
C260525003,2.A.02.6200-OSP00,PP-0168-前边梁,个,CRK80,调拨出库,C,成品库,2026/5/25 20:51:14,69,202605,YXL-024,宜宾仓储,交付,,调拨出库扫码,YXL260525_9028,2026/5/25 0:00:00,2026/5/25 20:54:22
C260525003,SD01-61KWH-B-XC-009,SD01中横梁,个,CRK80,调拨出库,C,成品库,2026/5/25 20:51:14,314,202605,YXL-024,宜宾仓储,交付,,调拨出库扫码,YXL260525_9018,2026/5/25 0:00:00,2026/5/25 20:54:22
C260525003,500110-00799-01-02,AWT87.3-横梁01,个,CRK80,调拨出库,C,成品库,2026/5/25 20:51:14,200,202605,YXL-024,宜宾仓储,交付,,调拨出库扫码,YXL260525_9025,2026/5/25 0:00:00,2026/5/25 20:54:23
C260525003,500110-00799-01-03,AWT87.3-横梁02,个,CRK80,调拨出库,C,成品库,2026/5/25 20:51:14,200,202605,YXL-024,宜宾仓储,交付,,调拨出库扫码,YXL260525_9026,2026/5/25 0:00:00,2026/5/25 20:54:23
BGR260525068,500110-00799-01-02/03-YL-GY,AWT87.3-横梁01/02,个,CRK27,二次加工,R,二次机加库,2026/5/25 20:51:01,71,202605,YXL-JG0128,何贵海,机加生产,,生产领料,R20260525-6151-CQYXL,2026/5/25 0:00:00,2026/5/25 20:54:20
BGC260525068,10062035-0-03/11-YL-GY,025AC左右边梁,个,CRK04,生产领用,C,原材料库,2026/5/25 20:51:01,26,202605,YXL-JG0128,何贵海,生产,,生产领料,R20260525-6086-CQYXL,2026/5/25 0:00:00,2026/5/25 20:54:19
BGC260525068,10062035-0-06-YL,025AC中横梁,个,CRK04,生产领用,C,原材料库,2026/5/25 20:51:01,20,202605,YXL-JG0128,何贵海,生产,,生产领料,R20260525-6088-CQYXL,2026/5/25 0:00:00,2026/5/25 20:54:19
BGC260525068,500110-00799-01-02/03-YL-GY,AWT87.3-横梁01/02,个,CRK04,生产领用,C,原材料库,2026/5/25 20:51:01,71,202605,YXL-JG0128,何贵海,生产,,生产领料,R20260525-6151-CQYXL,2026/5/25 0:00:00,2026/5/25 20:54:20
BGC260525067,10062035-0-03/11-YL-GY,025AC左右边梁,个,CRK04,生产领用,C,原材料库,2026/5/25 20:36:00,50,202605,YXL-JG0131,李浩然,生产,,生产领料,R20260524-6050-CQYXL,2026/5/25 0:00:00,2026/5/25 20:39:26
BGC260525066,500104-00518-01-010-01/02-C-YL,小卡三代-左右边框,个,CRK04,生产领用,C,原材料库,2026/5/25 20:33:01,21,202605,YXL-JG0131,李浩然,生产,,生产领料,R20260525-6148-CQYXL,2026/5/25 0:00:00,2026/5/25 20:36:20
BGC260525066,500104-00518-01-05-B-YL,小卡三代-后膨胀梁,个,CRK04,生产领用,C,原材料库,2026/5/25 20:33:01,35,202605,YXL-JG0131,李浩然,生产,,生产领料,R20260525-6163-CQYXL,2026/5/25 0:00:00,2026/5/25 20:36:23
BGC260525065,500109-00312-01-19-YL,E35纵梁,个,CRK04,生产领用,C,原材料库,2026/5/25 20:06:00,86,202605,YXL-JG0107W,劳务3,生产,,生产领料,R20260525-6136-CQYXL,2026/5/25 0:00:00,2026/5/25 20:09:19
BGC260525064,500110-00848-01-01-YL,F618-前梁01,个,CRK04,生产领用,C,原材料库,2026/5/25 19:54:01,9,202605,YXL-JG0110W,劳务6,生产,,生产领料,R20260524-6129-CQYXL,2026/5/25 0:00:00,2026/5/25 19:57:18
BGC260525064,500110-00799-01-02/03-YL-GY,AWT87.3-横梁01/02,个,CRK04,生产领用,C,原材料库,2026/5/25 19:54:01,88,202605,YXL-JG0015,王永强,生产,,生产领料,R20260524-6061-CQYXL,2026/5/25 0:00:00,2026/5/25 19:57:19
BGC260525064,10062035-0-05-YL,025AC前横梁,个,CRK04,生产领用,C,原材料库,2026/5/25 19:54:01,1,202605,YXL-JG0133,王志旭,生产,,生产领料,R20260524-6118-CQYXL,2026/5/25 0:00:00,2026/5/25 19:57:20
BGC260525064,10062035-0-07-YL,025AC纵梁,个,CRK04,生产领用,C,原材料库,2026/5/25 19:54:01,62,202605,YXL-JG0027,徐远平,生产,,生产领料,R20260525-6089-CQYXL,2026/5/25 0:00:00,2026/5/25 19:57:21
BGC260525064,500104-00518-01-010-01/02-C-YL,小卡三代-左右边框,个,CRK04,生产领用,C,原材料库,2026/5/25 19:54:01,19,202605,YXL-JG0027,徐远平,生产,,生产领料,R20260525-6093-CQYXL,2026/5/25 0:00:00,2026/5/25 19:57:22
BGC260525063,500110-00799-01-03,AWT87.3-横梁02,个,CRK04,生产领用,C,二次机加库,2026/5/25 19:51:02,85,202605,YXL-JG0108W,劳务4,生产,,生产领料,R20260526-6197-CQYXL,2026/5/25 0:00:00,2026/5/25 19:54:29
BGR260525063,500110-00799-01-02/03-YL-GY,AWT87.3-横梁01/02,个,CRK27,二次加工,R,二次机加库,2026/5/25 19:51:02,86,202605,YXL-JG0039,廖强,机加生产,,生产领料,R20260525-6164-CQYXL,2026/5/25 0:00:00,2026/5/25 19:54:29
BGC260525063,500110-00799-01-02/03-YL-GY,AWT87.3-横梁01/02,个,CRK04,生产领用,C,原材料库,2026/5/25 19:51:01,86,202605,YXL-JG0039,廖强,生产,,生产领料,R20260525-6164-CQYXL,2026/5/25 0:00:00,2026/5/25 19:54:25
BGC260525063,500104-00518-01-05-B-YL,小卡三代-后膨胀梁,个,CRK04,生产领用,C,原材料库,2026/5/25 19:51:01,10,202605,YXL-JG0027,徐远平,生产,,生产领料,R20260525-6150-CQYXL,2026/5/25 0:00:00,2026/5/25 19:54:26
BGC260525063,500109-00677-01-10-YL,F3-56-膨胀梁01,个,CRK04,生产领用,C,原材料库,2026/5/25 19:51:01,6,202605,YXL-JG0027,徐远平,生产,,生产领料,R20260524-6132-CQYXL,2026/5/25 0:00:00,2026/5/25 19:54:27
BGC260525062,500109-00515-01-07-YL,37KWH膨胀梁,个,CRK04,生产领用,C,原材料库,2026/5/25 19:48:02,60,202605,YXL-JG0039,廖强,生产,,生产领料,R20260524-6064-CQYXL,2026/5/25 0:00:00,2026/5/25 19:51:17
ZZKCK260525019,500110-00799-01-02,AWT87.3-横梁01,个,CRK32,包装出库,C,在制成品库,2026/5/25 19:30:08,200,202605,YXL-ZC0008W,机加1班,包装转出,,产品包装扫码入出库,YXL260525_9029,2026/5/25 0:00:00,2026/5/25 19:33:25
CCPRK260525019,500110-00799-01-02,AWT87.3-横梁01,个,CRK03,完工入库,R,成品库,2026/5/25 19:30:08,200,202605,YXL-ZC0008W,机加1班,生产入库,,产品包装扫码入出库,YXL260525_9029,2026/5/25 0:00:00,2026/5/25 19:33:23
RZZ260525375,500110-00799-01-02,AWT87.3-横梁01,件,CRK31,检验入库,R,在制成品库,2026/5/25 19:23:50,99,202605,YXL-ZL0013W,机加1班,检验入库,,产品包装扫码入库,R20260525-6112-CQYXL-1847,2026/5/25 0:00:00,2026/5/25 19:30:18
ZZKCK260525018,2.A.02.6184-OSP00,PP-0168-右边梁,个,CRK32,包装出库,C,在制成品库,2026/5/25 19:21:06,59,202605,YXL-ZC0008W,机加1班,包装转出,,产品包装扫码入出库,YXL260525_9027,2026/5/25 0:00:00,2026/5/25 19:24:27
ZZKCK260525018,2.A.02.6200-OSP00,PP-0168-前边梁,个,CRK32,包装出库,C,在制成品库,2026/5/25 19:21:06,69,202605,YXL-ZC0008W,机加1班,包装转出,,产品包装扫码入出库,YXL260525_9028,2026/5/25 0:00:00,2026/5/25 19:24:27
CCPRK260525018,2.A.02.6184-OSP00,PP-0168-右边梁,个,CRK03,完工入库,R,成品库,2026/5/25 19:21:06,59,202605,YXL-ZC0008W,机加1班,生产入库,,产品包装扫码入出库,YXL260525_9027,2026/5/25 0:00:00,2026/5/25 19:24:26
CCPRK260525018,2.A.02.6200-OSP00,PP-0168-前边梁,个,CRK03,完工入库,R,成品库,2026/5/25 19:21:06,69,202605,YXL-ZC0008W,机加1班,生产入库,,产品包装扫码入出库,YXL260525_9028,2026/5/25 0:00:00,2026/5/25 19:24:26
BGC260525061,10062035-0-05-YL,025AC前横梁,个,CRK04,生产领用,C,原材料库,2026/5/25 19:18:01,91,202605,YXL-JG0133,王志旭,生产,,生产领料,R20260524-6118-CQYXL,2026/5/25 0:00:00,2026/5/25 19:21:18
BGC260525060,10062035-0-04-YL,025AC后边梁,个,CRK04,生产领用,C,原材料库,2026/5/25 19:15:01,30,202605,YXL-JG0133,王志旭,生产,,生产领料,R20260524-6120-CQYXL,2026/5/25 0:00:00,2026/5/25 19:21:17
RZZ260525371,BP62-XC-03,BP62前横梁,件,CRK31,检验入库,R,在制成品库,2026/5/25 19:10:30,642,202605,YXL-ZL0013W,机加1班,检验入库,,产品包装扫码入库,R260525002-000-CQYXL-1835,2026/5/25 0:00:00,2026/5/25 19:12:15
RZZ260525368,10062035-0-03,025AC左边梁,件,CRK31,检验入库,R,在制成品库,2026/5/25 19:02:11,50,202605,YXL-ZL0013W,机加1班,检验入库,,产品包装扫码入库,R20260522-5945-CQYXL-1544,2026/5/25 0:00:00,2026/5/25 19:06:17
RZZ260525367,2.A.02.6184-OSP00,PP-0168-右边梁,件,CRK31,检验入库,R,在制成品库,2026/5/25 18:59:17,9,202605,YXL-ZL0013W,机加1班,检验入库,,产品包装扫码入库,R20260524-6063-CQYXL-1803,2026/5/25 0:00:00,2026/5/25 19:03:28
RZZ260525367,2.A.02.6200-OSP00,PP-0168-前边梁,件,CRK31,检验入库,R,在制成品库,2026/5/25 18:59:17,19,202605,YXL-ZL0013W,机加1班,检验入库,,产品包装扫码入库,R260525044-000-CQYXL-1879,2026/5/25 0:00:00,2026/5/25 19:03:29
R260525047,500104-00518-01-04-A-YL,小卡三代-前膨胀梁,个,CRK01,采购入库,R,原材料库,2026/5/25 18:26:26,119,202605,YXL-026,,采购收货,豪美,,,2026/5/25 0:00:00,2026/5/25 18:30:17
BGC260525055,10062035-0-06-YL,025AC中横梁,个,CRK04,生产领用,C,原材料库,2026/5/25 18:15:01,82,202605,YXL-JG0128,何贵海,生产,,生产领料,R20260525-6088-CQYXL,2026/5/25 0:00:00,2026/5/25 18:18:23
R260525046,10062035-0-02,025AC前边梁,个,CRK11,外协入库,R,转序库,2026/5/25 18:14:02,360,202605,YXL-026,,外协入库,,,,2026/5/25 0:00:00,2026/5/25 18:18:21
BGC260525054,10062035-0-04-YL,025AC后边梁,个,CRK04,生产领用,C,原材料库,2026/5/25 18:12:01,137,202605,YXL-JG0015,王永强,生产,,生产领料,R20260524-6121-CQYXL,2026/5/25 0:00:00,2026/5/25 18:15:17
RZZ260525353,2.A.02.6200-OSP00,PP-0168-前边梁,件,CRK31,检验入库,R,在制成品库,2026/5/25 18:10:14,50,202605,YXL-ZL0013W,机加1班,检验入库,,产品包装扫码入库,R260525038-000-CQYXL-1866,2026/5/25 0:00:00,2026/5/25 18:12:17
BGC260525053,500104-00518-01-05-B-YL,小卡三代-后膨胀梁,个,CRK04,生产领用,C,原材料库,2026/5/25 18:09:00,37,202605,YXL-JG0027,徐远平,生产,,生产领料,R20260525-6150-CQYXL,2026/5/25 0:00:00,2026/5/25 18:12:16
BGC260525053,500109-00677-01-10-YL,F3-56-膨胀梁01,个,CRK04,生产领用,C,原材料库,2026/5/25 18:09:00,52,202605,YXL-JG0027,徐远平,生产,,生产领料,R20260524-6132-CQYXL,2026/5/25 0:00:00,2026/5/25 18:12:17
ZZKCK260525017,500110-00799-01-03,AWT87.3-横梁02,个,CRK32,包装出库,C,在制成品库,2026/5/25 18:06:07,200,202605,YXL-ZC0008W,机加1班,包装转出,,产品包装扫码入出库,YXL260525_9026,2026/5/25 0:00:00,2026/5/25 18:09:24
CCPRK260525017,500110-00799-01-03,AWT87.3-横梁02,个,CRK03,完工入库,R,成品库,2026/5/25 18:06:07,200,202605,YXL-ZC0008W,机加1班,生产入库,,产品包装扫码入出库,YXL260525_9026,2026/5/25 0:00:00,2026/5/25 18:09:24
RZZ260525351,500110-00799-01-02,AWT87.3-横梁01,件,CRK31,检验入库,R,在制成品库,2026/5/25 18:04:46,100,202605,YXL-ZL0013W,机加1班,检验入库,,产品包装扫码入库,R20260522-5973-CQYXL-1469,2026/5/25 0:00:00,2026/5/25 18:06:18
RZZ260525351,500110-00799-01-02,AWT87.3-横梁01,件,CRK31,检验入库,R,在制成品库,2026/5/25 18:04:46,100,202605,YXL-ZL0013W,机加1班,检验入库,,产品包装扫码入库,R20260522-5973-CQYXL-1447,2026/5/25 0:00:00,2026/5/25 18:06:18
R260525045,2.A.02.6200-OSP00,PP-0168-前边梁,个,CRK11,外协入库,R,转序库,2026/5/25 17:48:12,19,202605,YXL-ZC0001,,外协入库,,,,2026/5/25 0:00:00,2026/5/25 17:51:17
R260525044,2.A.02.6200-OSP00,PP-0168-前边梁,个,CRK11,外协入库,R,转序库,2026/5/25 17:47:30,19,202605,YXL-ZC0001,,外协入库,,,,2026/5/25 0:00:00,2026/5/25 17:51:17
BGC260525052,10062035-0-04-YL,025AC后边梁,个,CRK04,生产领用,C,原材料库,2026/5/25 17:42:01,100,202605,YXL-JG0133,王志旭,生产,,生产领料,R20260525-6134-CQYXL,2026/5/25 0:00:00,2026/5/25 17:45:17
RZZ260525340,500110-00799-01-02,AWT87.3-横梁01,件,CRK31,检验入库,R,在制成品库,2026/5/25 17:31:09,99,202605,YXL-ZL0006,机加1班,检验入库,,产品包装扫码入库,R20260429-4687-CQYXL-8042,2026/5/25 0:00:00,2026/5/25 17:36:19
R260525043,BP76A-XC-01,BP76A-前边梁,个,CRK11,外协入库,R,转序库,2026/5/25 17:25:38,180,202605,YXL-026,,外协入库,,,,2026/5/25 0:00:00,2026/5/25 17:27:30
R260525043,BP76A-XC-02,BP76A-后边梁,个,CRK11,外协入库,R,转序库,2026/5/25 17:25:38,180,202605,YXL-026,,外协入库,,,,2026/5/25 0:00:00,2026/5/25 17:27:32
ZZKCK260525016,500110-00799-01-02,AWT87.3-横梁01,个,CRK32,包装出库,C,在制成品库,2026/5/25 17:18:12,200,202605,YXL-ZC0008W,机加1班,包装转出,,产品包装扫码入出库,YXL260525_9025,2026/5/25 0:00:00,2026/5/25 17:21:17
