单据号,物资编码,物资名称,计量单位,入出库编码,入出库类型,入出库标识,库房,业务时间,数量,核算期,审核人,部门,用途,合作伙伴,单据描述,行描述,要货日期,审核时间
ZZKCK260526021,500109-00698-01-04,EHU-56左右边梁02,个,CRK32,包装出库,C,在制成品库,2026/5/26 16:39:09,30,202605,YXL-ZC0008W,机加1班,包装转出,,产品包装扫码入出库,YXL260526_9052,2026/5/26 0:00:00,2026/5/26 16:42:43
CCPRK260526021,500109-00698-01-03,EHU-56左右边梁01,个,CRK03,完工入库,R,成品库,2026/5/26 16:39:09,30,202605,YXL-ZC0008W,机加1班,生产入库,,产品包装扫码入出库,YXL260526_9051,2026/5/26 0:00:00,2026/5/26 16:42:36
CCPRK260526021,500109-00698-01-04,EHU-56左右边梁02,个,CRK03,完工入库,R,成品库,2026/5/26 16:39:09,30,202605,YXL-ZC0008W,机加1班,生产入库,,产品包装扫码入出库,YXL260526_9052,2026/5/26 0:00:00,2026/5/26 16:42:38
RZZ260526319,500109-00312-01-19,E35纵梁,件,CRK31,检验入库,R,在制成品库,2026/5/26 16:34:30,100,202605,YXL-ZL0011,机加1班,检验入库,,产品包装扫码入库,R20260525-6136-CQYXL-1859,2026/5/26 0:00:00,2026/5/26 16:36:21
BGC260526044,10062035-0-06-YL,025AC中横梁,个,CRK04,生产领用,C,原材料库,2026/5/26 16:30:01,77,202605,YXL-JG0128,何贵海,生产,,生产领料,R20260526-6200-CQYXL,2026/5/26 0:00:00,2026/5/26 16:33:26
ZZKCK260526020,BP45B-XC-01,BP45B前边梁,个,CRK32,包装出库,C,在制成品库,2026/5/26 16:27:17,160,202605,YXL-ZC0008W,机加1班,包装转出,,产品包装扫码入出库,YXL260526_9050,2026/5/26 0:00:00,2026/5/26 16:30:21
CCPRK260526020,BP45B-XC-01,BP45B前边梁,个,CRK03,完工入库,R,成品库,2026/5/26 16:27:17,160,202605,YXL-ZC0008W,机加1班,生产入库,,产品包装扫码入出库,YXL260526_9050,2026/5/26 0:00:00,2026/5/26 16:30:20
RZZ260526316,500109-00312-01-04,E35前梁02,件,CRK31,检验入库,R,在制成品库,2026/5/26 16:27:11,299,202605,YXL-ZL0013W,机加1班,检验入库,,产品包装扫码入库,R260525026-000-CQYXL-1855,2026/5/26 0:00:00,2026/5/26 16:30:19
RZZ260526312,10062035-0-11,025AC右边梁,件,CRK31,检验入库,R,在制成品库,2026/5/26 16:15:05,49,202605,YXL-ZL0011,机加1班,检验入库,,产品包装扫码入库,R20260521-5932-CQYXL-1355,2026/5/26 0:00:00,2026/5/26 16:18:22
RZZ260526312,10062035-0-11,025AC右边梁,件,CRK31,检验入库,R,在制成品库,2026/5/26 16:15:05,52,202605,YXL-ZL0011,机加1班,检验入库,,产品包装扫码入库,R20260522-5949-CQYXL-1402,2026/5/26 0:00:00,2026/5/26 16:18:24
ZZKCK260526019,500104-00518-01-010-01-C,小卡三代-左边框,个,CRK32,包装出库,C,在制成品库,2026/5/26 16:06:08,60,202605,YXL-ZC0008W,机加1班,包装转出,,产品包装扫码入出库,YXL260526_9049,2026/5/26 0:00:00,2026/5/26 16:09:23
CCPRK260526019,500104-00518-01-010-01-C,小卡三代-左边框,个,CRK03,完工入库,R,成品库,2026/5/26 16:06:08,60,202605,YXL-ZC0008W,机加1班,生产入库,,产品包装扫码入出库,YXL260526_9049,2026/5/26 0:00:00,2026/5/26 16:09:22
ZZKCK260526018,BP62-XC-04,BP62后横梁,个,CRK32,包装出库,C,在制成品库,2026/5/26 16:03:11,1155,202605,YXL-ZC0008W,机加1班,包装转出,,产品包装扫码入出库,YXL260526_9048,2026/5/26 0:00:00,2026/5/26 16:06:20
CCPRK260526018,BP62-XC-04,BP62后横梁,个,CRK03,完工入库,R,成品库,2026/5/26 16:03:11,1155,202605,YXL-ZC0008W,机加1班,生产入库,,产品包装扫码入出库,YXL260526_9048,2026/5/26 0:00:00,2026/5/26 16:06:19
BGC260526042,500110-00848-01-01-YL,F618-前梁01,个,CRK04,生产领用,C,原材料库,2026/5/26 15:45:01,25,202605,YXL-JG0131,李浩然,生产,,生产领料,R20260526-6213-CQYXL,2026/5/26 0:00:00,2026/5/26 15:48:27
RZZ260526302,10062035-0-06,025AC中横梁,件,CRK31,检验入库,R,在制成品库,2026/5/26 15:43:20,99,202605,YXL-ZL0011,机加1班,检验入库,,产品包装扫码入库,R20260523-6028-CQYXL-1578,2026/5/26 0:00:00,2026/5/26 15:45:20
ZZKCK260526017,500104-00518-01-010-01-C,小卡三代-左边框,个,CRK32,包装出库,C,在制成品库,2026/5/26 15:42:07,60,202605,YXL-ZC0008W,机加1班,包装转出,,产品包装扫码入出库,YXL260526_9047,2026/5/26 0:00:00,2026/5/26 15:45:20
CCPRK260526017,500104-00518-01-010-01-C,小卡三代-左边框,个,CRK03,完工入库,R,成品库,2026/5/26 15:42:07,60,202605,YXL-ZC0008W,机加1班,生产入库,,产品包装扫码入出库,YXL260526_9047,2026/5/26 0:00:00,2026/5/26 15:45:19
BGC260526041,500104-00518-01-05-B-YL,小卡三代-后膨胀梁,个,CRK04,生产领用,C,原材料库,2026/5/26 15:30:01,30,202605,YXL-JG0027,徐远平,生产,,生产领料,R20260526-6204-CQYXL,2026/5/26 0:00:00,2026/5/26 15:33:23
RZZ260526298,BP45B-XC-01,BP45B前边梁,件,CRK31,检验入库,R,在制成品库,2026/5/26 15:29:58,240,202605,YXL-ZL0013W,机加1班,检验入库,,产品包装扫码入库,R260525003-000-CQYXL-1837,2026/5/26 0:00:00,2026/5/26 15:33:25
ZZKCK260526016,10062035-0-07,025AC纵梁,个,CRK32,包装出库,C,在制成品库,2026/5/26 15:15:07,400,202605,YXL-ZC0008W,机加1班,包装转出,,产品包装扫码入出库,YXL260526_9046,2026/5/26 0:00:00,2026/5/26 15:18:25
CCPRK260526016,10062035-0-07,025AC纵梁,个,CRK03,完工入库,R,成品库,2026/5/26 15:15:07,400,202605,YXL-ZC0008W,机加1班,生产入库,,产品包装扫码入出库,YXL260526_9046,2026/5/26 0:00:00,2026/5/26 15:18:23
C260526002,BP45A-XC-01,BP45A前边梁,个,CRK80,调拨出库,C,成品库,2026/5/26 15:06:24,180,202605,YXL-024,宜宾仓储,交付,,调拨出库扫码,YXL260522_8934,2026/5/26 0:00:00,2026/5/26 15:09:17
RZZ260526289,10062035-0-07,025AC纵梁,件,CRK31,检验入库,R,在制成品库,2026/5/26 15:00:04,200,202605,YXL-ZL0011,机加1班,检验入库,,产品包装扫码入库,R20260523-5996-CQYXL-1574,2026/5/26 0:00:00,2026/5/26 15:06:25
BGC260526040,500109-00312-01-19-YL,E35纵梁,个,CRK04,生产领用,C,原材料库,2026/5/26 14:54:01,100,202605,YXL-JG0133,王志旭,生产,,生产领料,R20260526-6193-CQYXL,2026/5/26 0:00:00,2026/5/26 14:57:20
RZZ260526283,10062035-0-07,025AC纵梁,件,CRK31,检验入库,R,在制成品库,2026/5/26 14:40:59,200,202605,YXL-ZL0011,机加1班,检验入库,,产品包装扫码入库,R20260514-5537-CQYXL-0265,2026/5/26 0:00:00,2026/5/26 14:42:19
RZZ260526283,10062035-0-07,025AC纵梁,件,CRK31,检验入库,R,在制成品库,2026/5/26 14:40:59,200,202605,YXL-ZL0011,机加1班,检验入库,,产品包装扫码入库,R20260518-5725-CQYXL-1027,2026/5/26 0:00:00,2026/5/26 14:42:20
R260526006,BP76A-XC-01,BP76A-前边梁,个,CRK11,外协入库,R,转序库,2026/5/26 14:38:00,90,202605,YXL-024,,外协入库,,,,2026/5/26 0:00:00,2026/5/26 14:42:18
R260526006,BP76A-XC-02,BP76A-后边梁,个,CRK11,外协入库,R,转序库,2026/5/26 14:38:00,270,202605,YXL-024,,外协入库,,,,2026/5/26 0:00:00,2026/5/26 14:42:18
R260526006,500109-00312-01-03,E35前梁01,个,CRK11,外协入库,R,转序库,2026/5/26 14:38:00,200,202605,YXL-024,,外协入库,,,,2026/5/26 0:00:00,2026/5/26 14:42:19
BGC260526038,10062035-0-03/11-YL-GY,025AC左右边梁,个,CRK04,生产领用,C,原材料库,2026/5/26 14:36:01,34,202605,YXL-JG0039,廖强,生产,,生产领料,R20260526-6174-CQYXL,2026/5/26 0:00:00,2026/5/26 14:39:18
ZZKCK260526015,500104-00518-01-010-02-C,小卡三代-右边框,个,CRK32,包装出库,C,在制成品库,2026/5/26 14:33:09,60,202605,YXL-ZC0008W,机加1班,包装转出,,产品包装扫码入出库,YXL260526_9045,2026/5/26 0:00:00,2026/5/26 14:36:17
CCPRK260526015,500104-00518-01-010-02-C,小卡三代-右边框,个,CRK03,完工入库,R,成品库,2026/5/26 14:33:09,60,202605,YXL-ZC0008W,机加1班,生产入库,,产品包装扫码入出库,YXL260526_9045,2026/5/26 0:00:00,2026/5/26 14:36:16
RZZ260526278,500109-00312-01-14,E35横梁01,件,CRK31,检验入库,R,在制成品库,2026/5/26 14:26:18,100,202605,YXL-ZL0013W,机加1班,检验入库,,产品包装扫码入库,R20260520-5916-CQYXL-1292,2026/5/26 0:00:00,2026/5/26 14:30:18
